"crime_id";"crime_code";"crime_desc";"occurred_date";"location_text";"latitude";"longitude";"created_at"
190326475;510;"VEHICLE - STOLEN";"2020-03-01 21:30:00";"1900 S  LONGWOOD                     AV";34.0375;-118.3506;"2025-04-07 18:21:18"
200105246;624;"BATTERY - SIMPLE ASSAULT";"2020-01-18 09:40:00";"200 E  BLOOM                        ST";34.0639;-118.2295;"2025-04-07 18:21:18"
200105289;510;"VEHICLE - STOLEN";"2020-01-16 17:00:00";"400    BAUCHET                      ST";34.0587;-118.233;"2025-04-07 18:21:18"
200106753;330;"BURGLARY FROM VEHICLE";"2020-02-08 18:00:00";"1000 S  FLOWER                       ST";34.0444;-118.2628;"2025-04-07 18:21:18"
200109800;330;"BURGLARY FROM VEHICLE";"2020-03-29 09:30:00";"9TH";34.0416;-118.255;"2025-04-07 18:21:18"
200111627;626;"INTIMATE PARTNER - SIMPLE ASSAULT";"2020-05-10 22:00:00";"700 N  HILL                         PL";34.0618;-118.2424;"2025-04-07 18:21:18"
200112598;310;"BURGLARY";"2020-05-30 00:30:00";"600 S  BROADWAY";34.0467;-118.252;"2025-04-07 18:21:18"
200114396;510;"VEHICLE - STOLEN";"2020-07-04 01:00:00";"6TH                          ST";34.0423;-118.2453;"2025-04-07 18:21:18"
200117110;121;"RAPE, FORCIBLE";"2020-05-01 01:00:00";"500 S  MAIN                         ST";34.0465;-118.2488;"2025-04-07 18:21:18"
200119680;510;"VEHICLE - STOLEN";"2020-10-18 18:00:00";"1800    CONWAY                       PL";34.0366;-118.2325;"2025-04-07 18:21:18"
200119908;330;"BURGLARY FROM VEHICLE";"2020-10-23 23:30:00";"1000 S  BROADWAY";34.0406;-118.2578;"2025-04-07 18:21:18"
200119934;354;"THEFT OF IDENTITY";"2020-10-24 06:45:00";"200 E  1ST                          ST";34.0512;-118.2419;"2025-04-07 18:21:18"
200121929;510;"VEHICLE - STOLEN";"2020-12-03 23:00:00";"400    SOLANO                       AV";34.071;-118.2302;"2025-04-07 18:21:18"
200200724;624;"BATTERY - SIMPLE ASSAULT";"2020-06-04 18:50:00";"4300    NORMAL                       AV";34.0888;-118.2881;"2025-04-07 18:21:18"
200200759;648;"ARSON";"2020-07-07 13:40:00";"JAMES M WOOD";34.0536;-118.2788;"2025-04-07 18:21:18"
200200760;230;"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT";"2020-07-07 16:20:00";"6TH                          ST";34.0628;-118.2821;"2025-04-07 18:21:18"
200206940;230;"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT";"2020-02-27 12:55:00";"BELLEVUE                     AV";34.0751;-118.2717;"2025-04-07 18:21:18"
200207955;510;"VEHICLE - STOLEN";"2020-03-19 01:30:00";"1900    MIRAMAR                      ST";34.0632;-118.2693;"2025-04-07 18:21:18"
200209713;510;"VEHICLE - STOLEN";"2020-05-02 18:00:00";"2500 W  4TH                          ST";34.0642;-118.2771;"2025-04-07 18:21:18"
200210168;510;"VEHICLE - STOLEN";"2020-05-12 21:00:00";"700 S  UNION                        AV";34.0531;-118.2738;"2025-04-07 18:21:18"
200210863;510;"VEHICLE - STOLEN";"2020-06-01 15:25:00";"2200    VALLEY                       ST";34.0653;-118.2725;"2025-04-07 18:21:18"
200211094;341;"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD";"2020-06-06 12:00:00";"1600 W  TEMPLE                       ST";34.0682;-118.2609;"2025-04-07 18:21:18"
200215463;510;"VEHICLE - STOLEN";"2020-09-25 19:00:00";"1600 W  COURT                        ST";34.0668;-118.2627;"2025-04-07 18:21:18"
200217442;310;"BURGLARY";"2020-11-15 03:10:00";"1500 W  SUNSET                       BL";34.0758;-118.2552;"2025-04-07 18:21:18"
200218448;510;"VEHICLE - STOLEN";"2020-12-10 20:00:00";"900 S  ALVARADO                     ST";34.0529;-118.2819;"2025-04-07 18:21:18"
200304274;740;"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)";"2020-01-04 20:30:00";"1200    BROWNING                     BL";34.0121;-118.2968;"2025-04-07 18:21:18"
200308100;510;"VEHICLE - STOLEN";"2020-03-06 22:00:00";"VERMONT";34.0344;-118.2915;"2025-04-07 18:21:18"
200309451;310;"BURGLARY";"2020-04-04 12:10:00";"3700 S  LA BREA                      AV";34.0199;-118.3556;"2025-04-07 18:21:18"
200310566;440;"THEFT PLAIN - PETTY ($950 & UNDER)";"2020-04-25 09:50:00";"1700 W  JEFFERSON                    BL";34.0256;-118.3061;"2025-04-07 18:21:18"
200311518;520;"VEHICLE - ATTEMPT STOLEN";"2020-05-14 19:00:00";"3900    HUBERT                       AV";34.0142;-118.3281;"2025-04-07 18:21:18"
200316510;510;"VEHICLE - STOLEN";"2020-08-29 20:50:00";"JEFFERSON";34.0278;-118.3378;"2025-04-07 18:21:18"
200316872;330;"BURGLARY FROM VEHICLE";"2020-09-03 09:00:00";"5100    CRENSHAW                     BL";33.9967;-118.3306;"2025-04-07 18:21:18"
200320258;480;"BIKE - STOLEN";"2020-11-04 17:00:00";"1400 W  37TH                         ST";34.021;-118.3002;"2025-04-07 18:21:18"
200320615;480;"BIKE - STOLEN";"2020-11-11 23:00:00";"2600    ORCHARD                      AV";34.0303;-118.2874;"2025-04-07 18:21:18"
200406391;310;"BURGLARY";"2020-03-01 14:30:00";"4500    HUNTINGTON DR";34.0881;-118.1877;"2025-04-07 18:21:18"
200410136;510;"VEHICLE - STOLEN";"2020-06-24 07:00:00";"300 E  AVENUE 31";34.0809;-118.2132;"2025-04-07 18:21:18"
200410224;510;"VEHICLE - STOLEN";"2020-06-27 04:00:00";"4TH";34.0427;-118.2237;"2025-04-07 18:21:18"
200412582;510;"VEHICLE - STOLEN";"2020-09-09 06:30:00";"200 E  AVENUE 28";34.082;-118.213;"2025-04-07 18:21:18"
200412621;510;"VEHICLE - STOLEN";"2020-09-09 18:00:00";"100 S  SOTO                         ST";34.0424;-118.2107;"2025-04-07 18:21:18"
200504009;946;"OTHER MISCELLANEOUS CRIME";"2020-01-01 21:00:00";"G";33.7783;-118.2662;"2025-04-07 18:21:18"
200506268;440;"THEFT PLAIN - PETTY ($950 & UNDER)";"2020-02-22 19:00:00";"PACIFIC COAST";33.7926;-118.3043;"2025-04-07 18:21:18"
200506936;510;"VEHICLE - STOLEN";"2020-03-08 18:30:00";"WESTERN                      AV";33.8268;-118.309;"2025-04-07 18:21:18"
200506977;510;"VEHICLE - STOLEN";"2020-02-22 00:30:00";"1600 W  PACIFIC COAST                HY";33.7926;-118.3043;"2025-04-07 18:21:18"
200510354;510;"VEHICLE - STOLEN";"2020-06-08 03:30:00";"2900 S  KERCKHOFF                    AV";33.7179;-118.2898;"2025-04-07 18:21:18"
200510994;510;"VEHICLE - STOLEN";"2020-06-25 02:30:00";"14TH                         ST";33.7315;-118.2879;"2025-04-07 18:21:18"
200514277;901;"VIOLATION OF RESTRAINING ORDER";"2020-09-17 22:55:00";"200 W  AMAR                         ST";33.7478;-118.2822;"2025-04-07 18:21:18"
200516527;510;"VEHICLE - STOLEN";"2020-11-12 04:30:00";"23400    PRESIDENT                    AV";33.8129;-118.3071;"2025-04-07 18:21:18"
200517540;510;"VEHICLE - STOLEN";"2020-11-30 22:55:00";"1400    BRETT                        PL";33.7553;-118.3056;"2025-04-07 18:21:18"
200606074;805;"PIMPING";"2020-02-07 16:15:00";"HOLLYWOOD";34.1016;-118.337;"2025-04-07 18:21:18"
200609101;510;"VEHICLE - STOLEN";"2020-04-12 13:00:00";"5700    HOLLYWOOD                    BL";34.1017;-118.3136;"2025-04-07 18:21:18"
200610130;210;"ROBBERY";"2020-05-11 11:30:00";"7000 W  SUNSET                       BL";34.098;-118.3416;"2025-04-07 18:21:18"
200615995;740;"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)";"2020-09-27 00:35:00";"6600 W  SUNSET                       BL";34.098;-118.3335;"2025-04-07 18:21:18"
200618540;510;"VEHICLE - STOLEN";"2020-11-27 09:50:00";"ORANGE";34.0981;-118.3577;"2025-04-07 18:21:18"
200706211;624;"BATTERY - SIMPLE ASSAULT";"2020-02-16 23:50:00";"6000 W  6TH                          ST";34.0677;-118.3548;"2025-04-07 18:21:18"
200709456;330;"BURGLARY FROM VEHICLE";"2020-05-20 12:50:00";"1800 S  COCHRAN                      AV";34.0443;-118.3538;"2025-04-07 18:21:18"
200714035;331;"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)";"2020-09-01 00:01:00";"400 N  ALTA VISTA                   BL";34.0783;-118.3474;"2025-04-07 18:21:18"
200714301;510;"VEHICLE - STOLEN";"2020-09-22 14:30:00";"800 N  FULLER                       AV";34.0853;-118.3499;"2025-04-07 18:21:18"
200716724;442;"SHOPLIFTING - PETTY THEFT ($950 & UNDER)";"2020-12-03 08:11:00";"8400    BEVERLY                      BL";34.0761;-118.3737;"2025-04-07 18:21:18"
200808682;510;"VEHICLE - STOLEN";"2020-04-21 14:00:00";"8800 W  PICO                         BL";34.0548;-118.3837;"2025-04-07 18:21:18"
200810737;510;"VEHICLE - STOLEN";"2020-06-16 16:00:00";"1300    WOODRUFF                     AV";34.0633;-118.4292;"2025-04-07 18:21:18"
200810920;624;"BATTERY - SIMPLE ASSAULT";"2020-06-20 10:00:00";"12100    SANTA MONICA                 BL";34.0423;-118.4656;"2025-04-07 18:21:18"
200814436;510;"VEHICLE - STOLEN";"2020-09-23 11:00:00";"10200    CRESTA                       DR";34.0417;-118.4041;"2025-04-07 18:21:18"
200814461;510;"VEHICLE - STOLEN";"2020-09-24 17:10:00";"ROBERTSON                    BL";34.0375;-118.3886;"2025-04-07 18:21:18"
200905707;510;"VEHICLE - STOLEN";"2020-02-07 20:00:00";"AETNA";34.1803;-118.4204;"2025-04-07 18:21:18"
200906009;806;"PANDERING";"2020-02-13 22:30:00";"SEPULVEDA";34.1958;-118.4662;"2025-04-07 18:21:18"
200907217;343;"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)";"2020-03-10 20:37:00";"14000    RIVERSIDE                    DR";34.1576;-118.4387;"2025-04-07 18:21:18"
200911119;330;"BURGLARY FROM VEHICLE";"2020-06-15 23:00:00";"14200    LEADWELL                     ST";34.2041;-118.4425;"2025-04-07 18:21:18"
200911839;331;"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)";"2020-06-26 12:00:00";"4600    WILLIS                       AV";34.1545;-118.4552;"2025-04-07 18:21:18"
200912561;510;"VEHICLE - STOLEN";"2020-07-20 07:00:00";"BESSEMER";34.1812;-118.4356;"2025-04-07 18:21:18"
200914052;624;"BATTERY - SIMPLE ASSAULT";"2020-08-27 12:55:00";"14100    SYLVAN                       ST";34.1847;-118.44;"2025-04-07 18:21:18"
200914517;354;"THEFT OF IDENTITY";"2020-09-09 17:35:00";"13600    LEADWELL                     ST";34.2039;-118.4312;"2025-04-07 18:21:18"
200918185;900;"VIOLATION OF COURT ORDER";"2020-12-07 12:03:00";"6200    SYLMAR                       AV";34.1837;-118.4465;"2025-04-07 18:21:18"
201000767;330;"BURGLARY FROM VEHICLE";"2020-07-13 20:00:00";"18600    HATTERAS                     ST";34.1774;-118.5387;"2025-04-07 18:21:18"
201007153;888;"TRESPASSING";"2020-03-12 06:40:00";"19500    INGOMAR                      ST";34.212;-118.5579;"2025-04-07 18:21:18"
201009044;331;"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)";"2020-05-13 13:15:00";"16800    BURBANK                      BL";34.1718;-118.4993;"2025-04-07 18:21:18"
201014375;740;"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)";"2020-10-23 23:30:00";"6800    RESEDA                       BL";34.1939;-118.536;"2025-04-07 18:21:18"
201106067;330;"BURGLARY FROM VEHICLE";"2020-02-15 18:30:00";"2700 N  VERMONT                      AV";34.1179;-118.293;"2025-04-07 18:21:18"
201106871;745;"VANDALISM - MISDEAMEANOR ($399 OR UNDER)";"2020-03-02 21:30:00";"6100    DELPHI                       ST";34.1241;-118.1878;"2025-04-07 18:21:18"
201107590;510;"VEHICLE - STOLEN";"2020-03-21 20:00:00";"700 N  AVENUE 50";34.1109;-118.2016;"2025-04-07 18:21:18"
201110303;310;"BURGLARY";"2020-06-08 20:00:00";"100    AVENUE 56";34.1089;-118.1942;"2025-04-07 18:21:18"
201110399;330;"BURGLARY FROM VEHICLE";"2020-06-11 17:00:00";"2400 N  ALVARADO                     ST";34.097;-118.2518;"2025-04-07 18:21:18"
201112065;510;"VEHICLE - STOLEN";"2020-07-30 20:30:00";"KENMORE                      ST";34.0953;-118.2974;"2025-04-07 18:21:18"
201112187;662;"BUNCO, GRAND THEFT";"2020-07-16 19:00:00";"2100    HYPERION                     AV";34.099;-118.2738;"2025-04-07 18:21:18"
201115543;330;"BURGLARY FROM VEHICLE";"2020-11-08 15:00:00";"1600 N  ALVARADO                     ST";34.0834;-118.2599;"2025-04-07 18:21:18"
201116118;354;"THEFT OF IDENTITY";"2020-11-23 12:00:00";"2000 N  VERMONT                      AV";34.1095;-118.2958;"2025-04-07 18:21:18"
201116973;510;"VEHICLE - STOLEN";"2020-12-26 03:32:00";"200 S  AVENUE 51";34.1038;-118.1987;"2025-04-07 18:21:18"
201209876;210;"ROBBERY";"2020-03-27 16:50:00";"2000 W  80TH                         ST";33.9664;-118.3134;"2025-04-07 18:21:18"
201210786;230;"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT";"2020-04-11 20:35:00";"74TH                         ST";33.973;-118.2652;"2025-04-07 18:21:18"
201211083;510;"VEHICLE - STOLEN";"2020-04-16 17:00:00";"FLOWER                       ST";33.9983;-118.2813;"2025-04-07 18:21:18"
201212036;230;"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT";"2020-05-01 23:30:00";"100 E  82ND                         ST";33.9654;-118.2739;"2025-04-07 18:21:18"
201212259;343;"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)";"2020-05-05 09:32:00";"5900 S  FIGUEROA                     ST";33.9874;-118.2827;"2025-04-07 18:21:18"
201215394;510;"VEHICLE - STOLEN";"2020-06-25 22:00:00";"FLORENCE";33.9747;-118.2587;"2025-04-07 18:21:18"
201215562;510;"VEHICLE - STOLEN";"2020-06-29 07:30:00";"81ST";33.9655;-118.3046;"2025-04-07 18:21:18"
201217850;626;"INTIMATE PARTNER - SIMPLE ASSAULT";"2020-08-04 10:00:00";"6700 S  FIGUEROA                     ST";33.9786;-118.2827;"2025-04-07 18:21:18"
201222029;626;"INTIMATE PARTNER - SIMPLE ASSAULT";"2020-10-04 18:00:00";"100 E  84TH                         PL";33.9619;-118.2717;"2025-04-07 18:21:18"
201225656;210;"ROBBERY";"2020-12-02 22:45:00";"SAN PEDRO";33.961;-118.2695;"2025-04-07 18:21:18"
201307829;510;"VEHICLE - STOLEN";"2020-02-28 16:00:00";"900    MATEO                        ST";34.0326;-118.2322;"2025-04-07 18:21:18"
201308239;745;"VANDALISM - MISDEAMEANOR ($399 OR UNDER)";"2020-02-28 23:00:00";"1000 E  28TH                         ST";34.0175;-118.2574;"2025-04-07 18:21:18"
201308739;510;"VEHICLE - STOLEN";"2020-03-27 12:10:00";"3200 S  SAN PEDRO                    ST";34.017;-118.2643;"2025-04-07 18:21:18"
